initial condition,return depth,chi_m,reference chi,absolute error,relative error
near cycle,0,0.07999999999999999,0.07784551296556538,0.0021544870344346045,0.02767644469614623
near cycle,1,0.07782746320574992,0.07784551296556538,1.8049759815466637e-05,0.00023186641243472657
near cycle,2,0.07784152600628565,0.07784551296556538,3.986959279736468e-06,5.121630172184853e-05
near cycle,3,0.07784463039359009,0.07784551296556538,8.825719752941774e-07,1.1337480371984693e-05
near cycle,4,0.0778453175990397,0.07784551296556538,1.95366525679308e-07,2.5096697065343705e-06
near cycle,5,0.07784546972001344,0.07784551296556538,4.324555194501478e-08,5.555304383971913e-07
near cycle,6,0.0778455033935807,0.07784551296556538,9.571984677103629e-09,1.229612897706481e-07
near cycle,7,0.07784551084756564,0.07784551296556538,2.1179997478082413e-09,2.720773063368635e-08
near cycle,8,0.07784551249757947,0.07784551296556538,4.679859139100628e-10,6.0117262521871275e-09
near cycle,9,0.07784551286282504,0.07784551296556538,1.0274034401014376e-10,1.3197978932400444e-09
near cycle,10,0.07784551294367426,0.07784551296556538,2.1891127799378296e-11,2.812124548406758e-10
moderate,0,0.2,0.18937802484364913,0.010621975156350882,0.056088741896639836
moderate,1,0.1891185771001551,0.18937802484364913,0.0002594477434940401,0.0013699992050727145
moderate,2,0.18932063234878133,0.18937802484364913,5.7392494867802846e-05,0.00030305783849623633
moderate,3,0.1893653184656615,0.18937802484364913,1.2706377987642403e-05,6.709531371516212e-05
moderate,4,0.18937521207190755,0.18937802484364913,2.812771741578235e-06,1.4852682849028892e-05
moderate,5,0.18937740221592603,0.18937802484364913,6.226277231013988e-07,3.287750643800628e-06
moderate,6,0.18937788703105266,0.18937802484364913,1.3781259647349664e-07,7.277116581360218e-07
moderate,7,0.18937799435000247,0.18937802484364913,3.049364666329879e-08,1.6101998470241943e-07
moderate,8,0.18937801810614271,0.18937802484364913,6.7375064138897045e-09,3.55770233608266e-08
moderate,9,0.18937802336480128,0.18937802484364913,1.4788478497340662e-09,7.808972825411005e-09
moderate,10,0.18937802452885497,0.18937802484364913,3.1479416295887575e-10,1.6622528575782245e-09
farther in basin,0,0.35000000000000003,0.3200475137422814,0.029952486257718625,0.0935876236234033
farther in basin,1,0.318797869434529,0.3200475137422814,0.0012496443077524289,0.0039045587111128325
farther in basin,2,0.31977060006113944,0.3200475137422814,0.0002769136811419659,0.0008652267843110037
farther in basin,3,0.31998618841361426,0.3200475137422814,6.132532866715001e-05,0.00019161320127152214
farther in basin,4,0.3200339374547003,0.3200475137422814,1.35762875810852e-05,4.24196002097911e-05
farther in basin,5,0.320044508487711,0.3200475137422814,3.005254570420668e-06,9.390026297284884e-06
farther in basin,6,0.32004684855639737,0.3200475137422814,6.651858840411862e-07,2.078397286275524e-06
farther in basin,7,0.3200473665573621,0.3200475137422814,1.471849193079855e-07,4.598845889692063e-07
farther in basin,8,0.32004748122225724,0.3200475137422814,3.252002417353239e-08,1.0160998844602547e-07
farther in basin,9,0.3200475066044903,0.3200475137422814,7.137791135924942e-09,2.2302285846446713e-08
farther in basin,10,0.32004751222309813,0.3200475137422814,1.519183279174996e-09,4.7467429489182655e-09
