initial condition,return depth,additional returns q,candidate value,normalized discrepancy from q=0,maximum discrepancy
near cycle,0,0,0.07782280465247848,0.0,2.0042003834315232e-05
near cycle,0,1,0.07784051404217633,1.6430706069128034e-05,2.0042003834315232e-05
near cycle,0,2,0.07784440638126204,2.0042003834315232e-05,2.0042003834315232e-05
near cycle,1,0,0.07784051404217628,0.0,4.410642161410655e-06
near cycle,1,1,0.07784440638126228,3.611238430260398e-06,4.410642161410655e-06
near cycle,1,2,0.07784526801099079,4.410642161410655e-06,4.410642161410655e-06
near cycle,2,0,0.07784440638126228,0.0,9.763579078873851e-07
near cycle,2,1,0.07784526801099131,7.994008448124762e-07,9.763579078873851e-07
near cycle,2,2,0.07784545874317192,9.763579078873851e-07,9.763579078873851e-07
near cycle,3,0,0.07784526801099079,0.0,2.161282051884562e-07
near cycle,3,1,0.07784545874317203,1.769569222076689e-07,2.161282051884562e-07
near cycle,3,2,0.07784550096375403,2.161282051884562e-07,2.161282051884562e-07
near cycle,4,0,0.07784545874316733,0.0,4.7842238815811176e-08
near cycle,4,1,0.07784550096375013,3.917127679593738e-08,4.7842238815811176e-08
near cycle,4,2,0.07784551030970717,4.7842238815811176e-08,4.7842238815811176e-08
near cycle,5,0,0.07784550096374604,0.0,1.0590368869476333e-08
near cycle,5,1,0.07784551030970382,8.670962375497592e-09,1.0590368869476333e-08
near cycle,5,2,0.07784551237852748,1.0590368869476333e-08,1.0590368869476333e-08
near cycle,6,0,0.0778455103096999,0.0,2.3442881059828636e-09
near cycle,6,1,0.07784551237852406,1.9194069537287337e-09,2.3442881059828636e-09
near cycle,6,2,0.07784551283648031,2.3442881059828636e-09,2.3442881059828636e-09
near cycle,7,0,0.07784551237852011,0.0,5.189344339392043e-10
near cycle,7,1,0.07784551283647663,4.2488140894838746e-10,5.189344339392043e-10
near cycle,7,2,0.07784551293785126,5.189344339392043e-10,5.189344339392043e-10
near cycle,8,0,0.07784551283647295,0.0,1.1487418386588714e-10
near cycle,8,1,0.07784551293784758,9.405302495085577e-11,1.1487418386588714e-10
near cycle,8,2,0.07784551296028958,1.1487418386588714e-10,1.1487418386588714e-10
moderate,0,0,0.188934111617303,0.0,0.0003552546095414367
moderate,0,1,0.18928074584054003,0.0002915504062420239,0.0003552546095414367
moderate,0,2,0.1893564859408961,0.0003552546095414367,0.0003552546095414367
moderate,1,0,0.1892807458405419,0.0,7.778724875512008e-05
moderate,1,1,0.1893564859408946,6.368563572362092e-05,7.778724875512008e-05
moderate,1,2,0.18937325671775826,7.778724875512008e-05,7.778724875512008e-05
moderate,2,0,0.18935648594089596,0.0,1.722227842111068e-05
moderate,2,1,0.18937325671775784,1.4100715017005485e-05,1.722227842111068e-05
moderate,2,2,0.1893769693694388,1.722227842111068e-05,1.722227842111068e-05
moderate,3,0,0.189373256717758,0.0,3.8125104157709864e-06
moderate,3,1,0.18937696936943663,3.121519386489627e-06,3.8125104157709864e-06
moderate,3,2,0.18937779121568749,3.8125104157709864e-06,3.8125104157709864e-06
moderate,4,0,0.18937696936942686,0.0,8.439467905062195e-07
moderate,4,1,0.18937779121567586,6.909888707826768e-07,8.439467905062195e-07
moderate,4,2,0.18937797314030286,8.439467905062195e-07,8.439467905062195e-07
moderate,5,0,0.18937779121566728,0.0,1.8681660042013724e-07
moderate,5,1,0.18937797314029262,1.5295781263122371e-07,1.8681660042013724e-07
moderate,5,2,0.18937801341118285,1.8681660042013724e-07,1.8681660042013724e-07
moderate,6,0,0.18937797314028385,0.0,4.135376978645837e-08
moderate,6,1,0.1893780134111723,3.385878111643092e-08,4.135376978645837e-08
moderate,6,2,0.18937802232554674,4.135376978645837e-08,4.135376978645837e-08
moderate,7,0,0.18937801341116337,0.0,9.154082645054346e-09
moderate,7,1,0.18937802232553622,7.494987086092339e-09,9.154082645054346e-09
moderate,7,2,0.189378024298828,9.154082645054346e-09,9.154082645054346e-09
moderate,8,0,0.18937802232552678,0.0,2.026356016445773e-09
moderate,8,1,0.18937802429881764,1.6590947764321813e-09,2.026356016445773e-09
moderate,8,2,0.1893780247356301,2.026356016445773e-09,2.026356016445773e-09
farther in basin,0,0,0.31714329992025786,0.0,0.0020982422826636075
farther in basin,0,1,0.3194132936672419,0.0017234220051238808,0.0020982422826636075
farther in basin,0,2,0.3199069856844776,0.0020982422826636075,0.0020982422826636075
farther in basin,1,0,0.31941329366724064,0.0,0.0004571013923398435
farther in basin,1,1,0.3199069856844742,0.00037417541539341826,0.0004571013923398435
farther in basin,1,2,0.32001639932084763,0.0004571013923398435,0.0004571013923398435
farther in basin,2,0,0.3199069856844748,0.0,0.00010124976731175089
farther in basin,2,1,0.32001639932084547,8.289495968834616e-05,0.00010124976731175089
farther in basin,2,2,0.3200406259596485,0.00010124976731175089,0.00010124976731175089
farther in basin,3,0,0.3200163993208424,0.0,2.2416225154383226e-05
farther in basin,3,1,0.32004062595964283,1.8353286226506206e-05,2.2416225154383226e-05
farther in basin,3,2,0.32004598910565707,2.2416225154383226e-05,2.2416225154383226e-05
farther in basin,4,0,0.32004062595962424,0.0,4.962232869089368e-06
farther in basin,4,1,0.3200459891056338,4.0628643574321425e-06,4.962232869089368e-06
farther in basin,4,2,0.3200471763086069,4.962232869089368e-06,4.962232869089368e-06
farther in basin,5,0,0.3200459891056194,0.0,1.0984489692536205e-06
farther in basin,5,1,0.32004717630858687,8.993648534125147e-07,1.0984489692536205e-06
farther in basin,5,2,0.3200474391087755,1.0984489692536205e-06,1.0984489692536205e-06
farther in basin,6,0,0.3200471763085717,0.0,2.431532098377796e-07
farther in basin,6,1,0.32004743910875316,1.9908393136725284e-07,2.431532098377796e-07
farther in basin,6,2,0.32004749728227977,2.431532098377796e-07,2.431532098377796e-07
farther in basin,7,0,0.32004743910873834,0.0,5.382445126482472e-08
farther in basin,7,1,0.3200474972822574,4.4069263977918566e-08,5.382445126482472e-08
farther in basin,7,2,0.3200475101595674,5.382445126482472e-08,5.382445126482472e-08
farther in basin,8,0,0.3200474972822433,0.0,1.1914598241224561e-08
farther in basin,8,1,0.3200475101595456,9.755181011720243e-09,1.1914598241224561e-08
farther in basin,8,2,0.3200475130100789,1.1914598241224561e-08,1.1914598241224561e-08
